index,totalCases,newCases
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,1,1
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,3,2
31,3,0
32,3,0
33,3,0
34,3,0
35,3,0
36,6,3
37,6,0
38,6,0
39,6,0
40,6,0
41,6,0
42,6,0
43,6,0
44,6,0
45,8,2
46,8,0
47,8,0
48,8,0
49,8,0
50,8,0
51,8,0
52,8,0
53,8,0
54,9,1
55,9,0
56,9,0
57,9,0
58,9,0
59,10,1
60,10,0
61,10,0
62,110,100
63,183,73
64,184,1
65,256,72
66,466,210
67,466,0
68,466,0
69,1592,1126
70,1324,0
71,1735,411
72,2175,440
73,2577,402
74,3012,435
75,3256,244
76,3791,535
77,4154,363
78,5162,1008
79,5855,693
80,6589,734
81,7123,534
82,7758,635
83,8210,452
84,8966,756
85,9698,732
86,10545,847
87,10964,419
88,11847,883
89,12543,696
90,13188,645
91,14454,1266
92,14761,307
93,15149,388
94,16013,864
95,16883,870
96,18268,1385
97,19231,963
98,20327,1096
99,21424,1097
100,22764,1340
101,23814,1050
102,24921,1107
103,26030,1109
104,27006,976
105,28184,1178
106,29260,1076
107,30239,979
108,31262,1023
109,32109,847
110,33007,898
111,34055,1048
112,35177,1122
113,36104,927
114,36908,804
115,37832,924
116,38563,731
117,39251,688
118,40069,818
119,40793,724
120,41731,938
121,42608,877
122,43318,710
123,43998,680
124,44651,653
125,45352,701
126,46248,896
127,46961,713
128,47905,944
129,48517,612
