China,newCases
28,28
28,0
31,3
32,1
42,10
45,3
80,35
88,8
90,2
141,51
168,27
295,127
386,91
522,136
633,111
817,184
1115,298
1439,324
1795,356
2222,427
2639,417
2686,47
3459,773
4774,1315
5623,849
6639,1016
7862,1223
9128,1266
10337,1209
11788,1451
11881,93
15299,3418
15343,44
16748,1405
18971,2223
20969,1998
23383,2414
26403,3020
28993,2590
31536,2543
33934,2398
36208,2274
38557,2349
40592,2035
42033,1441
43500,1467
45235,1735
46488,1253
47743,1255
49134,1391
50318,1184
51553,1235
52960,1407
54288,1328
55142,854
56003,861
56927,924
57682,755
58382,700
58946,564
59433,487
59879,446
60324,445
60811,487
61201,390
61732,531
62098,366
62570,472
62889,319
63153,264
63326,173
63471,145
63612,141
63762,150
63945,183
64014,69
64073,59
64142,69
64187,45
64236,49
64264,28
64281,17
64338,57
64363,25
64402,39
64435,33
63487,0
63494,7
63507,13
63511,4
63514,3
63519,5
63569,50
63593,24
63604,11
63616,12
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63616,0
63617,1
63617,0
63618,1
63618,0
63618,0
63619,1
63619,0
