index,totalCases,newCases
0,28,28
1,28,0
2,31,3
3,32,1
4,42,10
5,45,3
6,80,35
7,88,8
8,90,2
9,141,51
10,168,27
11,295,127
12,386,91
13,522,136
14,633,111
15,817,184
16,1115,298
17,1439,324
18,1795,356
19,2222,427
20,2639,417
21,2686,47
22,3459,773
23,4774,1315
24,5623,849
25,6639,1016
26,7862,1223
27,9128,1266
28,10337,1209
29,11788,1451
30,11881,93
31,15299,3418
32,15343,44
33,16748,1405
34,18971,2223
35,20969,1998
36,23383,2414
37,26403,3020
38,28993,2590
39,31536,2543
40,33934,2398
41,36208,2274
42,38557,2349
43,40592,2035
44,42033,1441
45,43500,1467
46,45235,1735
47,46488,1253
48,47743,1255
49,49134,1391
50,50318,1184
51,51553,1235
52,52960,1407
53,54288,1328
54,55142,854
55,56003,861
56,56927,924
57,57682,755
58,58382,700
59,58946,564
60,59433,487
61,59879,446
62,60324,445
63,60811,487
64,61201,390
65,61732,531
66,62098,366
67,62570,472
68,62889,319
69,63153,264
70,63326,173
71,63471,145
72,63612,141
73,63762,150
74,63945,183
75,64014,69
76,64073,59
77,64142,69
78,64187,45
79,64236,49
80,64264,28
81,64281,17
82,64338,57
83,64363,25
84,64402,39
85,64435,33
86,63487,0
87,63494,7
88,63507,13
89,63511,4
90,63514,3
91,63519,5
92,63569,50
93,63593,24
94,63604,11
95,63616,12
96,63616,0
97,63616,0
98,63616,0
99,63616,0
100,63616,0
101,63616,0
102,63616,0
103,63616,0
104,63616,0
105,63616,0
106,63616,0
107,63616,0
108,63616,0
109,63616,0
110,63616,0
111,63616,0
112,63616,0
113,63616,0
114,63616,0
115,63616,0
116,63616,0
117,63616,0
118,63616,0
119,63616,0
120,63616,0
121,63616,0
122,63616,0
123,63617,1
124,63617,0
125,63618,1
126,63618,0
127,63618,0
128,63619,1
129,63619,0
