France,newCases
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,2
2,0
2,0
4,2
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
11,7
11,0
11,0
11,0
12,1
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
2200,2188
2200,0
3243,1043
3900,657
4948,1048
5700,752
5700,0
7202,1502
7927,725
9444,1517
10934,1490
12428,1494
14008,1580
15438,1430
16183,745
17250,1067
19337,2087
21254,1917
23206,1952
24932,1726
26391,1459
27186,795
27718,532
28512,794
30440,1928
32297,1857
33834,1537
35379,1545
35973,594
36782,809
38543,1761
39988,1445
41414,1426
42715,1301
43816,1101
44125,309
44733,608
45997,1264
47338,1341
48572,1234
49300,728
49751,451
49973,222
50438,465
51803,1365
53022,1219
54076,1054
54770,694
54886,116
55062,176
55569,507
56617,1048
57368,751
58300,932
59143,843
59142,0
59907,765
60416,509
61246,830
61713,467
62216,503
62557,341
62893,336
62961,68
63542,581
64222,680
64503,281
65098,595
65599,501
66051,452
