index,totalCases,newCases
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,2,2
22,2,0
23,2,0
24,4,2
25,4,0
26,4,0
27,4,0
28,4,0
29,4,0
30,4,0
31,4,0
32,4,0
33,4,0
34,11,7
35,11,0
36,11,0
37,11,0
38,12,1
39,12,0
40,12,0
41,12,0
42,12,0
43,12,0
44,12,0
45,12,0
46,12,0
47,12,0
48,12,0
49,12,0
50,12,0
51,12,0
52,12,0
53,12,0
54,12,0
55,12,0
56,12,0
57,12,0
58,12,0
59,12,0
60,2200,2188
61,2200,0
62,3243,1043
63,3900,657
64,4948,1048
65,5700,752
66,5700,0
67,7202,1502
68,7927,725
69,9444,1517
70,10934,1490
71,12428,1494
72,14008,1580
73,15438,1430
74,16183,745
75,17250,1067
76,19337,2087
77,21254,1917
78,23206,1952
79,24932,1726
80,26391,1459
81,27186,795
82,27718,532
83,28512,794
84,30440,1928
85,32297,1857
86,33834,1537
87,35379,1545
88,35973,594
89,36782,809
90,38543,1761
91,39988,1445
92,41414,1426
93,42715,1301
94,43816,1101
95,44125,309
96,44733,608
97,45997,1264
98,47338,1341
99,48572,1234
100,49300,728
101,49751,451
102,49973,222
103,50438,465
104,51803,1365
105,53022,1219
106,54076,1054
107,54770,694
108,54886,116
109,55062,176
110,55569,507
111,56617,1048
112,57368,751
113,58300,932
114,59143,843
115,59142,0
116,59907,765
117,60416,509
118,61246,830
119,61713,467
120,62216,503
121,62557,341
122,62893,336
123,62961,68
124,63542,581
125,64222,680
126,64503,281
127,65098,595
128,65599,501
129,66051,452
