Germany,newCases
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,0
1,0
1,0
1,0
12,11
12,0
12,0
14,2
14,0
14,0
14,0
14,0
15,1
16,1
16,0
16,0
16,0
16,0
16,0
16,0
16,0
17,1
18,1
18,0
18,0
18,0
25,7
25,0
46,21
46,0
46,0
67,21
67,0
105,38
113,8
180,67
233,53
266,33
266,0
3243,2977
3547,304
5673,2126
6658,985
8481,1823
9211,730
13500,4289
16100,2600
18700,2600
22440,3740
24575,2135
26400,1825
28700,2300
28700,0
36081,7381
46300,10219
52407,6107
53913,1506
57400,3487
60300,2900
64300,4000
68200,3900
72600,4400
77000,4400
83114,6114
85400,2286
88000,2600
91500,3500
95200,3700
99400,4200
103300,3900
109800,6500
109800,0
112000,2200
114500,2500
117400,2900
120400,3000
123500,3100
126900,3400
129000,2100
130600,1600
132700,2100
135100,2400
139900,4800
141700,1800
141700,0
143300,1600
144400,1100
145617,1217
147200,1583
148700,1500
150300,1600
151597,1297
152600,1003
154011,1411
155041,1030
155681,640
156966,1285
158087,1121
159064,977
159716,652
160281,565
161199,918
161967,768
162820,853
163360,540
164245,885
164908,663
