index,totalCases,newCases
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,1,1
23,1,0
24,1,0
25,1,0
26,1,0
27,12,11
28,12,0
29,12,0
30,14,2
31,14,0
32,14,0
33,14,0
34,14,0
35,15,1
36,16,1
37,16,0
38,16,0
39,16,0
40,16,0
41,16,0
42,16,0
43,16,0
44,17,1
45,18,1
46,18,0
47,18,0
48,18,0
49,25,7
50,25,0
51,46,21
52,46,0
53,46,0
54,67,21
55,67,0
56,105,38
57,113,8
58,180,67
59,233,53
60,266,33
61,266,0
62,3243,2977
63,3547,304
64,5673,2126
65,6658,985
66,8481,1823
67,9211,730
68,13500,4289
69,16100,2600
70,18700,2600
71,22440,3740
72,24575,2135
73,26400,1825
74,28700,2300
75,28700,0
76,36081,7381
77,46300,10219
78,52407,6107
79,53913,1506
80,57400,3487
81,60300,2900
82,64300,4000
83,68200,3900
84,72600,4400
85,77000,4400
86,83114,6114
87,85400,2286
88,88000,2600
89,91500,3500
90,95200,3700
91,99400,4200
92,103300,3900
93,109800,6500
94,109800,0
95,112000,2200
96,114500,2500
97,117400,2900
98,120400,3000
99,123500,3100
100,126900,3400
101,129000,2100
102,130600,1600
103,132700,2100
104,135100,2400
105,139900,4800
106,141700,1800
107,141700,0
108,143300,1600
109,144400,1100
110,145617,1217
111,147200,1583
112,148700,1500
113,150300,1600
114,151597,1297
115,152600,1003
116,154011,1411
117,155041,1030
118,155681,640
119,156966,1285
120,158087,1121
121,159064,977
122,159716,652
123,160281,565
124,161199,918
125,161967,768
126,162820,853
127,163360,540
128,164245,885
129,164908,663
