index,totalCases,newCases
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,3,3
26,3,0
27,3,0
28,3,0
29,3,0
30,3,0
31,3,0
32,3,0
33,3,0
34,3,0
35,3,0
36,3,0
37,3,0
38,3,0
39,3,0
40,3,0
41,3,0
42,3,0
43,3,0
44,3,0
45,3,0
46,3,0
47,3,0
48,4,1
49,4,0
50,4,0
51,4,0
52,4,0
53,13,9
54,13,0
55,14,1
56,14,0
57,15,1
58,20,5
59,23,3
60,27,4
61,27,0
62,40,13
63,43,3
64,45,2
65,73,28
66,84,11
67,95,11
68,102,7
69,123,21
70,148,25
71,191,43
72,192,1
73,229,37
74,229,0
75,375,146
76,421,46
77,506,85
78,620,114
79,774,154
80,969,195
81,1080,111
82,1181,101
83,1359,178
84,1432,73
85,1768,336
86,2041,273
87,2463,422
88,2854,391
89,3273,419
90,3975,702
91,4370,395
92,5012,642
93,5498,486
94,5939,441
95,6523,584
96,7137,614
97,7747,610
98,8437,690
99,9068,631
100,10007,939
101,10819,812
102,11775,956
103,12847,1072
104,14142,1295
105,15331,1189
106,16776,1445
107,17887,1111
108,19301,1414
109,20969,1668
110,22549,1580
111,24420,1871
112,26400,1980
113,27969,1569
114,30258,2289
115,34224,3966
116,36795,2571
117,39233,2438
118,42309,3076
119,45422,3113
120,48553,3131
121,51824,3271
122,54385,2561
123,57692,3307
124,60706,3014
125,64277,3571
126,67749,3472
127,70920,3171
128,82627,11707
129,86936,4309
