Iran,newCases
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
49,49
49,0
73,24
123,50
175,52
291,116
291,0
552,261
739,187
913,174
1669,756
2134,465
2394,260
2731,337
2959,228
2959,0
2959,0
2959,0
4590,1631
4590,0
5389,799
5389,0
5710,321
6745,1035
7635,890
7931,296
7931,0
8913,982
9625,712
10457,832
11133,676
11679,546
12391,712
13911,1520
14656,745
15473,817
16711,1238
17935,1224
19736,1801
19736,0
24236,4500
27039,2803
29812,2773
32309,2497
35465,3156
41947,6482
43894,1947
45983,2089
48129,2146
49933,1804
52229,2296
54064,1835
55987,1923
57023,1036
59273,2250
60965,1692
63113,2148
64843,1730
66599,1756
68193,1594
69657,1464
70933,1276
72439,1506
73791,1352
75103,1312
76318,1215
77350,1032
78422,1072
79379,957
80475,1096
81587,1112
82744,1157
83837,1093
85064,1227
86143,1079
87422,1279
88357,935
89428,1071
90539,1111
91836,1297
93147,1311
94464,1317
95661,1197
97173,1512
98808,1635
100564,1756
102276,1712
104072,1796
105801,1729
107713,1912
109437,1724
111176,1739
112988,1812
114931,1943
116827,1896
