index,totalCases,newCases
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,49,49
36,49,0
37,73,24
38,123,50
39,175,52
40,291,116
41,291,0
42,552,261
43,739,187
44,913,174
45,1669,756
46,2134,465
47,2394,260
48,2731,337
49,2959,228
50,2959,0
51,2959,0
52,2959,0
53,4590,1631
54,4590,0
55,5389,799
56,5389,0
57,5710,321
58,6745,1035
59,7635,890
60,7931,296
61,7931,0
62,8913,982
63,9625,712
64,10457,832
65,11133,676
66,11679,546
67,12391,712
68,13911,1520
69,14656,745
70,15473,817
71,16711,1238
72,17935,1224
73,19736,1801
74,19736,0
75,24236,4500
76,27039,2803
77,29812,2773
78,32309,2497
79,35465,3156
80,41947,6482
81,43894,1947
82,45983,2089
83,48129,2146
84,49933,1804
85,52229,2296
86,54064,1835
87,55987,1923
88,57023,1036
89,59273,2250
90,60965,1692
91,63113,2148
92,64843,1730
93,66599,1756
94,68193,1594
95,69657,1464
96,70933,1276
97,72439,1506
98,73791,1352
99,75103,1312
100,76318,1215
101,77350,1032
102,78422,1072
103,79379,957
104,80475,1096
105,81587,1112
106,82744,1157
107,83837,1093
108,85064,1227
109,86143,1079
110,87422,1279
111,88357,935
112,89428,1071
113,90539,1111
114,91836,1297
115,93147,1311
116,94464,1317
117,95661,1197
118,97173,1512
119,98808,1635
120,100564,1756
121,102276,1712
122,104072,1796
123,105801,1729
124,107713,1912
125,109437,1724
126,111176,1739
127,112988,1812
128,114931,1943
129,116827,1896
