Italy,newCases
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
2,1
1,0
1,0
3,2
45,42
46,1
46,0
83,37
149,66
160,11
276,116
414,138
523,109
589,66
622,33
724,102
724,0
1045,321
1045,0
1439,394
1966,527
2335,369
2749,414
2941,192
4025,1084
4440,415
4440,0
6072,1632
7024,952
7024,0
8326,1302
9362,1036
10361,999
10950,589
12384,1434
13030,646
14620,1590
15729,1109
16847,1118
18278,1431
19758,1480
20996,1238
21815,819
22837,1022
24392,1555
26491,2099
28470,1979
30455,1985
32534,2079
34211,1677
35435,1224
37130,1695
38092,962
40164,2072
42727,2563
44927,2200
47055,2128
48877,1822
51600,2723
54543,2943
57576,3033
60498,2922
63120,2622
64928,1808
66624,1696
68941,2317
71252,2311
75945,4693
78249,2304
79914,1665
81654,1740
82879,1225
85231,2352
93245,8014
96276,3031
99023,2747
103031,4008
105186,2155
106587,1401
109039,2452
112541,3502
115288,2747
120205,4917
122810,2605
125176,2366
127326,2150
129401,2075
132282,2881
134560,2278
136720,2160
138840,2120
140479,1639
141981,1502
144658,2677
147101,2443
150604,3503
152844,2240
155633,2789
