index,totalCases,newCases
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,1,1
32,2,1
33,1,0
34,1,0
35,3,2
36,45,42
37,46,1
38,46,0
39,83,37
40,149,66
41,160,11
42,276,116
43,414,138
44,523,109
45,589,66
46,622,33
47,724,102
48,724,0
49,1045,321
50,1045,0
51,1439,394
52,1966,527
53,2335,369
54,2749,414
55,2941,192
56,4025,1084
57,4440,415
58,4440,0
59,6072,1632
60,7024,952
61,7024,0
62,8326,1302
63,9362,1036
64,10361,999
65,10950,589
66,12384,1434
67,13030,646
68,14620,1590
69,15729,1109
70,16847,1118
71,18278,1431
72,19758,1480
73,20996,1238
74,21815,819
75,22837,1022
76,24392,1555
77,26491,2099
78,28470,1979
79,30455,1985
80,32534,2079
81,34211,1677
82,35435,1224
83,37130,1695
84,38092,962
85,40164,2072
86,42727,2563
87,44927,2200
88,47055,2128
89,48877,1822
90,51600,2723
91,54543,2943
92,57576,3033
93,60498,2922
94,63120,2622
95,64928,1808
96,66624,1696
97,68941,2317
98,71252,2311
99,75945,4693
100,78249,2304
101,79914,1665
102,81654,1740
103,82879,1225
104,85231,2352
105,93245,8014
106,96276,3031
107,99023,2747
108,103031,4008
109,105186,2155
110,106587,1401
111,109039,2452
112,112541,3502
113,115288,2747
114,120205,4917
115,122810,2605
116,125176,2366
117,127326,2150
118,129401,2075
119,132282,2881
120,134560,2278
121,136720,2160
122,138840,2120
123,140479,1639
124,141981,1502
125,144658,2677
126,147101,2443
127,150604,3503
128,152844,2240
129,155633,2789
