index,totalCases,newCases
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,1,1
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,4,3
49,4,0
50,4,0
51,4,0
52,4,0
53,4,0
54,4,0
55,4,0
56,4,0
57,4,0
58,4,0
59,4,0
60,4,0
61,4,0
62,4,0
63,4,0
64,4,0
65,4,0
66,4,0
67,4,0
68,35,31
69,35,0
70,35,0
71,35,0
72,633,598
73,633,0
74,633,0
75,633,0
76,633,0
77,633,0
78,633,0
79,633,0
80,633,0
81,1772,1139
82,1843,71
83,1964,121
84,2125,161
85,2125,0
86,2125,0
87,2125,0
88,2627,502
89,2627,0
90,2627,0
91,2627,0
92,2627,0
93,2627,0
94,7149,4522
95,8354,1205
96,9086,732
97,11423,2337
98,11423,0
99,11423,0
100,12377,954
101,12377,0
102,13447,1070
103,13447,0
104,16810,3363
105,17781,971
106,17781,0
107,20314,2533
108,21824,1510
109,21824,0
110,23100,1276
111,25935,2835
112,26990,1055
113,28475,1485
114,30451,1976
115,31848,1397
116,33329,1481
117,35388,2059
118,37325,1937
119,38419,1094
120,40152,1733
121,42191,2039
122,44424,2233
123,46979,2555
124,49452,2473
125,51708,2256
126,53834,2126
127,56041,2207
128,59003,2962
129,61247,2244
