index,totalCases,newCases
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,1,1
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,14,13
65,16,2
66,16,0
67,16,0
68,53,37
69,394,341
70,394,0
71,537,143
72,537,0
73,914,377
74,989,75
75,997,8
76,1301,304
77,1333,32
78,1438,105
79,1569,131
80,1739,170
81,1798,59
82,2642,844
83,2869,227
84,3108,239
85,6120,3012
86,6541,421
87,6684,143
88,6811,127
89,6968,157
90,6982,14
91,7027,45
92,7422,395
93,7496,74
94,7797,301
95,8088,291
96,8425,337
97,9179,754
98,10037,858
99,10405,368
100,11129,724
101,12434,1305
102,13550,1116
103,14427,877
104,15413,986
105,17527,2114
106,18388,861
107,19012,624
108,20246,1234
109,21349,1103
110,22406,1057
111,23324,918
112,24324,1000
113,25151,827
114,27147,1996
115,28272,1125
116,28621,349
117,30306,1685
118,36524,6218
119,41968,5444
120,43587,1619
121,44848,1261
122,47915,3067
123,49795,1880
124,50949,1154
125,52906,1957
126,56169,3263
127,59442,3273
128,62791,3349
129,66447,3656
