Russia,newCases
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,2
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
3,1
3,0
3,0
3,0
3,0
3,0
8,5
8,0
8,0
8,0
8,0
9,1
9,0
12,3
16,4
16,0
22,6
29,7
38,9
45,7
49,4
64,15
66,2
121,55
190,69
235,45
281,46
333,52
355,22
406,51
494,88
580,86
698,118
795,97
1045,250
1291,246
1470,179
1694,224
1986,292
2304,318
2590,286
3057,467
3291,234
3446,155
3873,427
4420,547
4891,471
5568,677
6250,682
6767,517
7346,579
8456,1110
10286,1830
11619,1333
13220,1601
15013,1793
16639,1626
18095,1456
19865,1770
21327,1462
23803,2476
26608,2805
31916,5308
34306,2390
39801,5495
43512,3711
48003,4491
53530,5527
58226,4696
63166,4940
67373,4207
70209,2836
76130,5921
85392,9262
92681,7289
99825,7144
107936,8111
113299,5363
118798,5499
131129,12331
142208,11079
150993,8785
159257,8264
167469,8212
