index,totalCases,newCases
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,2,2
22,2,0
23,2,0
24,2,0
25,2,0
26,2,0
27,2,0
28,2,0
29,2,0
30,2,0
31,2,0
32,2,0
33,2,0
34,2,0
35,2,0
36,2,0
37,2,0
38,2,0
39,2,0
40,2,0
41,2,0
42,2,0
43,2,0
44,2,0
45,2,0
46,3,1
47,3,0
48,3,0
49,3,0
50,3,0
51,3,0
52,8,5
53,8,0
54,8,0
55,8,0
56,8,0
57,9,1
58,9,0
59,12,3
60,16,4
61,16,0
62,22,6
63,29,7
64,38,9
65,45,7
66,49,4
67,64,15
68,66,2
69,121,55
70,190,69
71,235,45
72,281,46
73,333,52
74,355,22
75,406,51
76,494,88
77,580,86
78,698,118
79,795,97
80,1045,250
81,1291,246
82,1470,179
83,1694,224
84,1986,292
85,2304,318
86,2590,286
87,3057,467
88,3291,234
89,3446,155
90,3873,427
91,4420,547
92,4891,471
93,5568,677
94,6250,682
95,6767,517
96,7346,579
97,8456,1110
98,10286,1830
99,11619,1333
100,13220,1601
101,15013,1793
102,16639,1626
103,18095,1456
104,19865,1770
105,21327,1462
106,23803,2476
107,26608,2805
108,31916,5308
109,34306,2390
110,39801,5495
111,43512,3711
112,48003,4491
113,53530,5527
114,58226,4696
115,63166,4940
116,67373,4207
117,70209,2836
118,76130,5921
119,85392,9262
120,92681,7289
121,99825,7144
122,107936,8111
123,113299,5363
124,118798,5499
125,131129,12331
126,142208,11079
127,150993,8785
128,159257,8264
129,167469,8212
