index,totalCases,newCases
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,1,1
49,1,0
50,1,0
51,1,0
52,1,0
53,1,0
54,2,1
55,6,4
56,6,0
57,6,0
58,8,2
59,16,8
60,16,0
61,16,0
62,28,12
63,29,1
64,33,4
65,35,2
66,37,2
67,66,29
68,115,49
69,165,50
70,264,99
71,328,64
72,351,23
73,420,69
74,488,68
75,551,63
76,615,64
77,631,16
78,666,35
79,685,19
80,720,35
81,761,41
82,805,44
83,889,84
84,931,42
85,990,59
86,1049,59
87,1329,280
88,1398,69
89,1490,92
90,1640,150
91,1812,172
92,1925,113
93,2049,124
94,2215,166
95,2357,142
96,2531,174
97,2784,253
98,2953,169
99,3163,210
100,3555,392
101,3765,210
102,4134,369
103,4476,342
104,5431,955
105,6783,1352
106,7798,1015
107,9120,1322
108,10144,1024
109,11457,1313
110,12737,1280
111,15257,2520
112,17622,2365
113,19051,1429
114,21869,2818
115,23666,1797
116,25722,2056
117,28748,3026
118,31634,2886
119,33478,1844
120,36040,2562
121,39003,2963
122,41236,2233
123,43520,2284
124,45668,2148
125,48450,2782
126,51022,2572
127,54553,3531
128,57013,2460
129,58883,1870
