Spain,newCases
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,2
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
30,28
30,0
32,2
32,0
183,151
183,0
193,10
517,324
517,0
530,13
1028,498
1081,53
1107,26
1588,481
2125,537
2575,450
2575,0
3794,1219
5367,1573
7015,1648
9357,2342
12285,2928
14709,2424
16780,2071
19259,2479
22647,3388
26743,4096
30513,3770
34219,3706
38080,3861
40437,2357
43208,2771
48021,4813
52165,4144
55668,3503
59109,3441
62391,3282
64727,2336
67504,2777
70853,3349
74797,3944
74797,0
74797,0
77357,2560
80587,3230
82514,1927
85915,3401
89250,3335
92355,3105
95708,3353
98372,2664
100875,2503
102548,1673
108947,6399
112050,3103
112050,0
117248,5198
118902,1654
121343,2441
123486,2143
126002,2516
128511,2509
131148,2637
133952,2804
136166,2214
137139,973
138980,1841
140823,1843
143374,2551
144783,1409
146446,1663
146446,0
150376,3930
150376,0
150376,0
150376,0
150376,0
150376,0
150376,0
150376,0
150376,0
150376,0
150376,0
150376,0
150376,0
