index,totalCases,newCases
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,2,2
25,2,0
26,2,0
27,2,0
28,2,0
29,2,0
30,2,0
31,2,0
32,2,0
33,2,0
34,2,0
35,2,0
36,2,0
37,2,0
38,2,0
39,2,0
40,2,0
41,2,0
42,2,0
43,2,0
44,2,0
45,30,28
46,30,0
47,32,2
48,32,0
49,183,151
50,183,0
51,193,10
52,517,324
53,517,0
54,530,13
55,1028,498
56,1081,53
57,1107,26
58,1588,481
59,2125,537
60,2575,450
61,2575,0
62,3794,1219
63,5367,1573
64,7015,1648
65,9357,2342
66,12285,2928
67,14709,2424
68,16780,2071
69,19259,2479
70,22647,3388
71,26743,4096
72,30513,3770
73,34219,3706
74,38080,3861
75,40437,2357
76,43208,2771
77,48021,4813
78,52165,4144
79,55668,3503
80,59109,3441
81,62391,3282
82,64727,2336
83,67504,2777
84,70853,3349
85,74797,3944
86,74797,0
87,74797,0
88,77357,2560
89,80587,3230
90,82514,1927
91,85915,3401
92,89250,3335
93,92355,3105
94,95708,3353
95,98372,2664
96,100875,2503
97,102548,1673
98,108947,6399
99,112050,3103
100,112050,0
101,117248,5198
102,118902,1654
103,121343,2441
104,123486,2143
105,126002,2516
106,128511,2509
107,131148,2637
108,133952,2804
109,136166,2214
110,137139,973
111,138980,1841
112,140823,1843
113,143374,2551
114,144783,1409
115,146446,1663
116,146446,0
117,150376,3930
118,150376,0
119,150376,0
120,150376,0
121,150376,0
122,150376,0
123,150376,0
124,150376,0
125,150376,0
126,150376,0
127,150376,0
128,150376,0
129,150376,0
