index,totalCases,newCases
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,26,26
64,26,0
65,42,16
66,70,28
67,105,35
68,162,57
69,243,81
70,333,90
71,415,82
72,484,69
73,786,302
74,1042,256
75,1326,284
76,1582,256
77,1846,264
78,2142,296
79,2423,281
80,2965,542
81,3446,481
82,3957,511
83,4799,842
84,5674,875
85,7089,1415
86,8631,1542
87,10453,1822
88,11976,1523
89,13430,1454
90,14918,1488
91,16477,1559
92,18491,2014
93,21737,3246
94,25582,3845
95,29140,3558
96,33791,4651
97,38809,5018
98,44040,5231
99,48886,4846
100,53808,4922
101,58259,4451
102,63151,4892
103,68166,5015
104,73285,5119
105,78202,4917
106,82984,4782
107,86396,3412
108,89480,3084
109,92691,3211
110,95780,3089
111,98889,3109
112,101715,2826
113,104030,2315
114,106133,2103
115,108137,2004
116,109962,1825
117,111577,1615
118,112895,1318
119,113987,1092
120,114990,1003
121,116111,1121
122,117602,1491
123,118694,1092
124,120015,1321
125,121507,1492
126,122793,1286
127,124369,1576
128,125963,1594
129,126984,1021
