index,totalCases,newCases
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,3,3
19,3,0
20,3,0
21,3,0
22,3,0
23,3,0
24,3,0
25,3,0
26,3,0
27,3,0
28,3,0
29,3,0
30,5,2
31,5,0
32,5,0
33,5,0
34,6,1
35,6,0
36,6,0
37,7,1
38,7,0
39,7,0
40,7,0
41,7,0
42,7,0
43,7,0
44,7,0
45,7,0
46,7,0
47,7,0
48,8,1
49,8,0
50,12,4
51,12,0
52,12,0
53,12,0
54,17,5
55,17,0
56,105,88
57,121,16
58,147,26
59,176,29
60,178,2
61,178,0
62,348,170
63,361,13
64,681,320
65,869,188
66,1072,203
67,2665,1593
68,5644,2979
69,7024,1380
70,8474,1450
71,9001,527
72,9707,706
73,14652,4945
74,17448,2796
75,19581,2133
76,21763,2182
77,23559,1796
78,25410,1851
79,28790,3380
80,31270,2480
81,32988,1718
82,43482,10494
83,47763,4281
84,52096,4333
85,54703,2607
86,58545,3842
87,64840,6295
88,70337,5497
89,72329,1992
90,75204,2875
91,77366,2162
92,80203,2837
93,99079,18876
94,100372,1293
95,106988,6616
96,111424,4436
97,115936,4512
98,120720,4784
99,153947,33227
100,164015,10068
101,175382,11367
102,180152,4770
103,187180,7028
104,189791,2611
105,189910,119
106,195036,5126
107,198993,3957
108,212534,13541
109,216169,3635
110,232733,16564
111,230287,0
112,243430,13143
113,246414,2984
114,250747,4333
115,268376,17629
116,272265,3889
117,283178,10913
118,289392,6214
119,294312,4920
120,298418,4106
121,350135,51717
122,361239,11104
123,366736,5497
124,379157,12421
125,384902,5745
126,391508,6606
127,399991,8483
128,406446,6455
129,416461,10015
